id_recepta,ime_recepta,cas_priprave,enota_priprave,cas_kuhanja,enota_kuhanja,st_porcij,kalorije,ogljikovi_hidrati,mascobe,beljakovine
163,Zucchini Casserole,10,mins,45,mins,12,83.0,11.0,3.0,4.0
164,Pineapple Chia with Cottage Cheese,5,mins,0,mins,2,295.0,38.0,8.5,16.5
165,"Seared Scallops with Creamy Corn, Tomatoes and Chives",5,mins,20,mins,4,269.0,27.5,11.0,19.0
166,Giant Zucchini Parmesan,10,mins,45,mins,4,242.0,24.0,10.0,16.5
167,Turkey Meatloaf with Zucchini   ,10,mins,55,mins,4,275.0,18.0,11.5,25.5
168,Peach Pie Cottage Cheese Bowls,5,mins,10,mins,2,272.0,25.0,9.0,31.0
169,Gandules Guisados,5,mins,20,mins,4,131.0,17.5,4.5,5.0
170,Puerto Rican Sofrito Recipe,25,mins,0,mins,14,27.0,4.0,1.0,0.5
171,Broiled or Grilled Pollo Sabroso,5,mins,20,mins,6,181.0,0.5,6.0,29.5
172,"Summer Cavatelli with Corn, Tomatoes and Zucchini",5,mins,15,mins,6,297.5,59.5,5.0,10.5
174,"Black Bean, Avocado, Cucumber and Tomato Salad",10,mins,0,mins,10,127.0,16.0,5.5,5.0
175,Greek 7 Layer Dip,20,mins,0,mins,9,93.0,7.0,5.0,5.0
176,Air Fryer Baked Potato ,5,mins,38,mins,4,157.0,36.0,0.5,4.0
177,Grilled Corn Salad with Cotija,15,mins,15,mins,8,117.0,13.0,6.5,4.0
178,Chickpea Milanese,15,mins,10,mins,4,320.0,41.0,13.5,10.0
179,Peruvian Grilled Chicken Skewers with Avocado Aji Verde Sauce,10,mins,10,mins,6,289.0,2.5,16.0,30.0
180,Broiled Fish with Tomato Caper Sauce,5,mins,15,mins,4,257.0,2.0,10.5,37.5
181,Mango Coconut Chia Pudding,5,mins,0,mins,2,227.0,22.0,13.0,7.0
182,Grilled Chicken Feta Chickpea Salad,5,mins,0,mins,2,462.0,41.0,19.5,34.0
183,Grilled Tuna over Arugula with Lemon Vinaigrette,5,mins,5,mins,1,298.0,4.0,15.5,35.5
184,Watermelon Arugula and Feta Salad,10,mins,0,mins,4,157.5,11.0,11.5,4.0
185,Berry Cottage Cheese Breakfast Bowl,5,mins,0,mins,1,232.0,20.5,9.5,19.0
186,"Grilled Chicken Salad with Strawberries, Avocado and Citrus Dressing",10,mins,15,mins,2,399.0,14.0,26.0,30.0
187,Chili-Lime Air Fryer Salmon,5,mins,10,mins,4,262.0,0.5,12.5,37.5
188,Tuna Poke Salad,15,mins,0,mins,2,404.0,16.0,23.0,36.0
189,Avocado and Mango Salsa,5,mins,0,mins,5,119.0,12.0,6.0,1.5
190,Arugula Pasta Salad with Chickpeas and Sun Dried Tomatoes,5,mins,10,mins,4,280.0,43.5,9.0,11.0
191,Honey Sriracha Chicken and Broccoli Meal Prep Bowls,10,mins,20,mins,4,428.0,41.0,9.5,44.0
192,Sous Vide Chicken Breast and Cilantro Lime Chicken Avocado Salad,30,mins,2,hrs,4,329.0,7.5,22.5,25.0
193,Instant Pot Oatmeal Banana Bars,10,mins,50,mins,4,266.0,45.0,6.5,9.0
