ime,kalorije,kjoule,voda,proteini,ogljikovi hidrati,sladkor,mascobe,vlaknine
Cheese with cumin seeds,271,1132,57.3,20.0,0.1,0.1,21.5,0.1
Cheeseburger,283,1189,44.8,14.0,26.5,26.5,13.5,0.2
Cheeseburger vegetarian,258,1078,50.6,15.2,15.8,15.8,14.4,3.0
Cheesecake,308,1292,45.3,5.4,28.6,28.6,19.2,0.5
Cheesecake mixed varieties,241,1007,54.5,5.0,26.0,26.0,13.0,0.5
Cherries red sour fresh,52,220,84.9,1.0,11.0,11.0,0.0,2.1
Cherries red sweet fresh,54,228,84.9,0.5,12.0,12.0,0.1,1.5
Chestnuts raw,188,789,51.5,4.0,35.0,35.0,2.0,6.5
Chewing gum,284,1187,4.0,0.0,70.0,70.0,0.0,0.0
Chewing gum sugarless,0,0,3.0,0.0,0.0,0.0,0.0,0.0
Chiabatta,238,997,40.0,8.5,45.0,45.0,1.5,4.0
Chicken breast meat only cooked,157,658,65.0,30.0,0.0,0.0,4.0,0.0
Chicken breast meat only raw,100,420,75.3,22.8,0.0,0.0,0.9,0.0
Chicken chops with peanut sauce,229,962,58.0,15.0,12.0,12.0,13.5,0.5
Chicken leg meat and skin raw,103,435,76.1,20.6,0.0,0.0,2.3,0.0
Chicken liver,132,554,71.3,22.5,1.0,1.0,4.2,0.0
Chicken meat and skin raw,165,694,69.8,19.3,0.0,0.0,9.9,0.0
Chicken meat only raw,138,581,72.2,20.5,0.0,0.0,6.3,0.0
Chicken roulade,176,738,68.5,18.0,1.5,1.5,11.0,0.0
Chickpeas cooked boiled,119,502,70.1,7.5,13.0,13.0,3.0,5.4
Chickpeas dried raw,325,1358,18.0,20.0,48.0,48.0,3.5,9.5
Chickpeas seeds green,155,652,61.5,7.5,22.0,22.0,3.0,5.0
Chicory raw,13,58,95.1,1.3,1.1,1.1,0.2,1.3
Chicory witloof cooked,14,61,94.8,1.2,1.9,1.9,0.0,1.1
Chili peppers dried,366,1530,16.5,12.5,33.0,33.0,16.0,21.0
Chili peppers pimento raw,31,132,91.2,0.9,5.8,5.8,0.5,0.6
Chili powder,380,1588,12.5,12.0,32.0,32.0,17.5,25.0
Chillies red fried,59,248,87.0,4.5,2.5,2.5,3.5,1.5
Chinese cabbage cooked,19,81,92.7,1.0,2.5,2.5,0.0,2.8
Chipolatapudding,228,958,57.3,5.2,24.0,24.0,12.5,0.0
Chive fresh,58,246,84.4,3.6,8.5,8.5,0.7,1.8
Chocolate dark 45-59% cacao solids,513,2144,10.6,5.3,49.0,49.0,33.0,1.1
Chocolate milk,541,2261,2.1,9.2,55.0,55.0,31.5,1.2
Chocolate milk beverage non-fat,68,285,82.9,3.5,12.0,12.0,0.6,0.0
Chocolate milk beverage reduced fat,79,328,82.0,3.2,12.9,12.9,1.6,0.0
Chocolate milk beverage whole,100,421,78.7,3.6,12.9,12.9,3.8,0.0
Chocolate pudding ready-to-eat,105,441,76.3,3.2,16.0,16.0,3.0,0.5
Chocolate spread dark,617,2579,0.0,4.5,65.0,65.0,37.0,4.5
Chocolate spread milk,563,2353,0.2,4.0,57.8,57.8,35.0,2.0
Chocolate spread with hazelnut,567,2370,0.0,4.5,55.0,55.0,36.0,4.0
Chocolate white,560,2341,0.1,7.6,58.0,58.0,33.3,0.0
Chocolate with hazelnuts,577,2412,2.0,9.5,44.0,44.0,40.0,3.5
Chorizo sausage,360,1505,45.4,23.0,0.6,0.6,30.0,0.0
Cider apple,10,42,96.5,0.0,2.5,2.5,0.0,0.0
Cinnamon ground,314,1312,12.0,3.8,55.0,55.0,3.2,25.0
Cloves,427,1785,12.3,6.2,51.0,51.0,20.0,9.5
Cockle shellfish,64,267,82.4,15.5,0.0,0.0,0.1,0.0
Cocoa powder,405,1693,9.9,19.8,10.8,10.8,24.5,34.0
Coconut meat grated,742,3102,0.0,7.0,19.0,19.0,69.0,14.0
Coconut meat raw,410,1714,37.0,4.0,3.0,3.0,40.0,15.0
Coconut milk canned,208,872,73.0,1.5,3.0,3.0,21.5,0.0
Coconut milk fresh,21,91,93.3,0.7,3.7,3.7,0.2,1.1
Coconut oil,878,3670,0.2,0.8,0.0,0.0,99.0,0.0
Cod Atlantic fillet cooked,118,495,73.4,22.0,0.6,0.6,3.0,0.0
Cod Atlantic raw,72,304,81.9,16.4,0.0,0.0,0.7,0.0
Cod chopped battered and fried,221,927,60.7,24.5,0.0,0.0,13.8,0.0
Cod-liver oil,881,3683,0.0,0.0,0.0,0.0,99.8,0.0
Coffee black ready-to-drink,0,1,98.8,0.0,0.0,0.0,0.0,0.2
Coffee cream powder,550,2299,3.8,4.2,55.0,55.0,35.0,0.0
Coffee with cream and sugar ready-to-drink,22,93,93.6,0.7,4.6,4.6,0.1,0.0
Coffee with cream ready-to-drink,10,44,96.4,0.7,1.9,1.9,0.1,0.0
Cognac 40 % v/v,220,924,66.0,0.0,1.0,1.0,0.0,0.0
Cola,44,187,88.0,0.0,11.0,11.0,0.0,0.0
Cola diet,1,5,98.7,0.0,0.3,0.3,0.0,0.0
Condensed milk canned unsweetened,131,550,74.5,6.5,9.5,9.5,7.5,0.0
Cookie coconut macaroons,550,2299,3.5,5.5,53.0,53.0,35.0,2.0
Cookie shortbread plain,518,2165,3.7,5.4,58.0,58.0,28.9,3.0
Cookie soft-type mixed varieties,399,1668,26.5,7.9,37.0,37.0,23.7,3.9
Cookies shortbread mixed varieties,421,1760,3.0,8.5,78.0,78.0,7.5,2.0
Cooking oil mixed varieties,879,3674,0.0,0.0,0.0,0.0,99.5,0.0
