id_recepta,kolicina,enota,sestavina
103,1/2,cup,chopped pecans or walnuts

104,1,piece,turkey breast

104,2,teaspoon,kosher salt

104,1/2,teaspoon,freshly ground black pepper

104,2,large,garlic cloves

104,1/4,cup,light mayonnaise

104,2 1/2,tablespoons,za’atar

104,1,pound,sweet potatoes

104,3,tablespoons,extra-virgin olive oil

104,1,tablespoon,maple syrup

104,1,pound,brussels sprouts

104,1/2,teaspoon,cumin seeds

105,1,cup,course yellow cornmeal

105,1,cup,all-purpose flour

105,3 1/2,teaspoons,baking powder

105,1,teaspoon,kosher salt

105,1,cup,fat-free milk

105,3,tablespoon,honey

105,3,tablespoons,neutral tasting oil such as canola

105,3,large,eggs

105,1,tablespoon,neutral tasting oil such as canola

105,14,ounces,raw sweet chicken sausage

105,2,large,onion

105,3,cup,chopped celery

105,3/4,cup,chopped fresh parsley

105,2,tablespoons,chopped fresh thyme

105,1/4,cup,chopped fresh sage

105,1 1/2,teaspoons,kosher salt

105,1/2,teaspoon,Black pepper

105,2 1/2,cups,reduced-sodium chicken broth

105,2,large,eggs

106,2 1/2,pounds,sweet potatoes

106,1/2,cup,fat free milk 

106,3,tablespoons,pure maple syrup

106,2,teaspoons,vanilla extract

106,1/2,teaspoon,kosher salt

106,1/4,teaspoon,ground cinnamon

106,2,large,eggs

106,2/3,cup,coarsely chopped pecans or walnuts

106,2,tablespoons,all-purpose flour or gluten-free flour

106,1/4,cup,quick-cooking rolled oats

106,3,tablespoons,brown monk fruit sweetener

106,1/8,teaspoon,ground cinnamon

106,1/8,teaspoon,kosher salt

106,2,tablespoons,melted butter

107,20,ounces,peeled and cubed butternut squash

107,1,small,red onion

107,1 1/2,tbsp,extra-virgin olive oil

107,1,teaspoon,kosher salt

107,2,slices,center-cut bacon

107,1/4,cup,freshly grated Parmesan cheese

108,2,lbs,Yukon gold potatoes

108,4,large,garlic clove

108,1/4,cup,light sour cream

108,1/2,cup,chicken broth

108,1/4,cup,fat free milk

108,1,tbsp,whipped butter

108,1,tbsp,fresh herbs such as parsley

109,3/4,cup,egg whites

109,1/8,teaspoon,adobo seasoning

109,1/4,cup,enchilada sauce

109,2,tablespoons,cheddar cheese

109,1/4,cup,scallion

109,1/2,small,avocado

110,2,medium,red onion

110,2 1/2,pounds,acorn squash

110,1,tablespoon,extra-virgin olive oil

110,1/2,teaspoon,Kosher sea salt

110,6,cups,vegetable broth

110,2,teaspoons,fresh ginger

110,3/4,teaspoon,ground turmeric

110,1/4,cup,unsalted cashews

110,2,tablespoons,finely chopped fresh cilantro

111,1,cup,all purpose or white whole wheat flour

111,1 1/2,teaspoons,baking powder

111,1/2,teaspoon,kosher salt

111,1,cup,Stonyfield non-fat Greek yogurt

111,8,ounces,organic grilled chicken breast

111,1/2,cup,marinara sauce

111,3/4,cup,shredded part-skim mozzarella cheese

112,2,lbs,green beans

112,1,tbsp,olive oil

112,1,cup,shallots

112,1/2,cup,breadcrumbs

112,1,tbsp,grated Romano or Parmesan cheese

112,1/2,tsp,dried thyme

112,1,tbsp,olive oil

112,1/3,cup,shallots

112,16,oz,sliced mushrooms

112,1/4,cup,flour

112,1,cup,reduced sodium chicken broth

112,1,cup,2% milk

112,1/4,cup,romano cheese

113,1 1⁄4,cups,whole raw cashews

113,3/4,cup,water

113,1,tablespoon,freshly squeezed lemon juice

113,1/4,teaspoon,fine sea salt

113,3/4,teaspoon,apple cider vinegar

114,1,1-inch,knob fresh ginger

114,⅓,cup,reduced sodium soy sauce

114,2,tablespoons,rice vinegar

114,6,cloves,garlic

114,1,tablespoon,granulated sugar

114,2,tablespoons,toasted sesame oil

114,1 1/2,tablespoons,cornstarch

114,2 to 3,teaspoons,chili paste

114,1 1/2,pounds,thin sliced boneless chicken breast cutlets

114,1,tablespoon,vegetable oil

114,1,medium,red onion

114,15,ounces,baby bok choy

114,1/3,cup,dry-roasted peanuts

114,½,cup,fresh Thai or traditional basil

115,2,teaspoons,extra-virgin olive oil

115,1,pound,mild Italian chicken sausage

115,1,medium,yellow onion

115,4,clove,garlic

115,1/2,teaspoon,apple cider vinegar

115,2 1/2,teaspoons,Adobo Seasoning

115,1/2 ,teaspoon,kosher salt

115,1/2,teaspoon,dried thyme

115,1/2,teaspoon,freshly ground black pepper

115,1,sprig,rosemary

115,1,pound,orange-fleshed sweet potatoes

115,6,cups,unsalted chicken Bone Broth

115,1/4,cup,Dairy-Free Heavy Cream

115,1,bunch,lacinato (Tuscan kale) or Swiss chard

116,1,cup,all-purpose flour

116,2,teaspoons,baking powder

116,3/4,teaspoon,kosher salt

116,1,cup,non-fat plain Greek yogurt

116,1,large,egg white

116,8,piece,turkey hot dogs

116,2,teaspoons,everything Bagel seasoning

117,1,pound,Cremini or Baby Bella mushrooms

117,1,tablespoon,extra-virgin olive oil

117,1,teaspoon,kosher salt

117,2,tablespoons,unsalted butter

117,4,large,garlic cloves

118,1/2,tablespoon,olive oil

118,1,cup,chopped scallions

118,1,cup,chopped carrots

118,3/4,cup,sliced celery

118,1/2,teaspoon,kosher salt

118,3/4,cup,quartered grape tomatoes

118,32,ounce,container chicken bone broth

118,4,cups,water

118,2,piece,bullion cube

118,4,piece,chicken thighs

118,3/4,teaspoon,ground turmeric

118,1,teaspoon,grated ginger

118,1,medium,zucchini

118,3,cups,broccoli florets

118,12,ounces,vermicelli rice noodles

118,6,cup,baby spinach

119,1,medium,apple

119,2,teaspoons,ground cinnamon

119,1,tablespoon,pure maple syrup

119,1 ½,cups,unsweetened almond milk

119,2,teaspoons,chia seeds

119,1,teaspoon,vanilla extract

119,1,teaspoon,ground cinnamon

119,1/8,teaspoon,ground nutmeg

119,½,tablespoon,pure maple syrup

119,1,cup,old fashioned oats

119,2,tablespoons,chopped walnuts

120,1,slice,whole grain or gluten-free bread

120,1,oz,mashed avocado

121,1,pound,dry black beans

121,1,small,red bell pepper

121,1,small,onion

121,2,cloves,garlic

121,3,large,bay leaves

121,1,tbsp,olive oil

121,1,large,onion

121,1/2,cup,parsley

121,1,medium,red bell pepper

121,2,medium,carrots

121,5,cloves,garlic

121,1,tbsp,red wine vinegar

121,1/4,cup,white wine

121,1,teaspoon,cumin

121,1,teaspoon,oregano

121,1,piece,bullion cube

121,3/4,tsp,kosher salt

122,4,6 ounce,skinless salmon filets

122,1,tablespoon,sweet paprika

122,1/2,teaspoon,dried cayenne pepper

122,1,teaspoon,garlic powder

122,1,teaspoon,dried thyme

122,1,teaspoon,dried oregano

122,1,teaspoon,kosher salt

122,1/8,teaspoon,black pepper

123,1,14 ounce,package extra-firm tofu

123,½,cup,finely diced yellow onion

123,1,large,garlic clove

123,1,tablespoon,olive oil

123,3,tablespoons,less sodium soy sauce

123,1,tablespoon,tomato paste

123,2,teaspoons,chili powder

123,1,teaspoon,smoked paprika

123,1,teaspoon,cumin

123,1,medium,Russet potato

123,2,large,jalapeño peppers

123,1 ½,tablespoons,olive oil

123,1,teaspoon,kosher salt

123,4,ounces,Hass avocado

123,8,6-inch,corn tortillas

123,1,cup,your favorite salsa

124,1,medium,baked sweet potato

124,6,tablespoons,ketchup

124,1 1/2,teaspoons,Worcestershire sauce

124,1,pound,ground turkey

124,1,large,egg

124,2,tablespoons,dried onion flakes

124,1,teaspoon,marjoram

124,1,teaspoon,kosher salt

125,5,ounces,avocado

125,1/4,cup,red onion

125,1,large,tomato

125,1,cup,hearts of palm

125,1/2,teaspoon,kosher salt

125,2,tablespoons,extra virgin olive oil

125,2,tablespoons,fresh lemon juice

125,4,cups,baby arugula

126,1,cup,all-purpose flour

126,2,teaspoons,baking powder

126,3/4,teaspoon,kosher salt

126,1,cup,non-fat Greek yogurt

126,1,large,egg white

126,2,piece,chicken Italian sausage

126,4,slice,provolone or mozzarella cheese

126,8,teaspoons,pizza sauce or marinara

127,1,pound,wild salmon fillet

127,¼,cup,reduced sodium soy sauce

127,¼,cup,finely diced yellow onion

127,1,teaspoon,toasted sesame oil

127,1,teaspoon,grated fresh ginger

127,1,tablespoon,brown sugar

127,2,clove,garlic

127,1,tsp,sesame seeds

127,3,cups,tri-color coleslaw

127,3,whole,scallion

127,3,tablespoons,mayonnaise

127,3,teaspoons,gochujang

128,1,pound,93% ground turkey

128,2 1/4,teaspoons,cumin

128,1,teaspoon,smoked paprika

128,1,teaspoon,garlic powder

128,1/2,teaspoon,chili powder

128,1/2,teaspoon,salt

128,15,oz,can fat-free refried beans

128,1 1/4,cups,jarred medium salsa

128,4,oz,can diced green chilies

128,1 1/2,cups,reduced fat shredded cheese 

128,1,medium,tomato

128,4,ounce,avocado

128,2,tablespoons,crumbled cotija cheese

128,1/4,cup,sliced scallions

128,1/4,cup,chopped cilantro

129,4,cups,water

129,1,teaspoon,kosher salt

129,1,cup,yellow polenta or medium ground cornmeal

129,2,tablespoons,unsalted butter

129,1/2,cup,canned or homemade pumpkin puree

129,1/3,cup,grated Pecorino Romano

130,1/4,cup,Puerto Rican sofrito

130,1,tablespoon,olive oil

130,15,ounce,can black beans

130,1/2,tablespoon,sazon seasoning

130,1/2,teaspoon,chicken boullion

130,2,tablespoons,tomato paste

130,1/2,cup,water

131,1 1/2,teaspoons,onion powder

131,1 1/2,teaspoons,garlic powder

131,1/2,teaspoon,sweet paprika

131,1/8,teaspoon,cayenne pepper

131,1/2,teaspoon,kosher salt

131,1,teaspoon,brown sugar

131,4,cup,butternut squash

131,1,tablespoon,olive oil

132,1,large,onion

132,1,medium,carrot

132,1,large,celery

132,3/4,pound,ground sirloin beef

132,1,link,Italian spicy or sweet chicken sausage

132,28,ounce can,crushed tomatoes

132,2,large,bay leaves

132,3/4,tsp,kosher salt

133,3/4,cup,unbleached all purpose flour

133,1/2,cup,white whole wheat flour

133,3/4,tsp,baking soda

133,1/2,tsp,salt

133,1,tsp,cinnamon

133,1 1/2,tsp,pumpkin spice

133,3,medium,very ripe medium bananas

133,1/2,cup,pureed pumpkin

133,2,tbsp,butter

133,1/2,cup,light brown sugar

133,1,large,egg white

133,1,large,egg

133,1,tsp,vanilla extract

133,1/4,cup,chopped pecans

134,1,tablespoon,unsalted butter

134,1,small,yellow onion

134,4,large,eggs

134,3,ounces,sliced Nova lox

135,4,cups,thinly shredded brussels sprouts

135,1/4,cup,roughly chopped pecans

135,2,tablespoons,extra virgin olive oil

135,1,tablespoon,minced shallots

135,2,teaspoons,Dijon mustard

135,2,tablespoons,balsamic vinegar

135,3,tablespoons,crumbled blue cheese

135,1,small,honey crisp apple

136,2,medium,red onions

136,2,pounds,sweet potatoes

136,1,tablespoon,extra-virgin olive oil

136,1/2,teaspoon,Kosher sea salt

136,8,cups,vegetable broth

136,2,teaspoons,minced fresh ginger

136,1/2,teaspoon,ground turmeric

136,1/4,cup,unsalted macadamias

136,2,tablespoons,finely chopped fresh cilantro

137,6,tbsp,mayonnaise

137,2,tablespoons,drained capers

137,2,teaspoons,fresh lemon juice

137,16,ounces,skinless salmon fillet

137,1,teaspoon,kosher salt

137,2,large,egg white

137,1,cup,panko

137,4,piece,buns

137,4,large,butter lettuce leaves

138,1,cup,whole wheat flour

138,2,tsp,baking powder

138,1/4,tsp,salt

138,1/2,tsp,cinnamon

138,1,tsp,pumpkin pie spice

138,1,cup,low fat buttermilk

138,3,large,egg white

138,1/4,cup,canned pumpkin

138,2,tbsp,pure maple syrup

138,1,tsp,vanilla

138,2,tsp,canola oil

138,3,tbsp,chopped pecans

139,1 1/4,pounds,chicken breasts

139,2,teaspoons,olive oil

139,1,medium,red onion

139,1/4,cup,cilantro

139,1,piece,poblano pepper

139,1,large,roma tomato

139,1,medium,lime

139,1,cup,corn kernels

139,3,cups,cooked brown rice

139,1/4,cup,cheddar-jack cheese

139,1/4,cup,2% sour cream or Greek yogurt

139,1,teaspoon,garlic powder

139,1,teaspoon,cumin

139,1,teaspoon,kosher salt

139,1/2,teaspoon,chili powder

139,1/2,teaspoon,paprika

139,1/2,teaspoon,oregano

140,3,medium,extra ripe bananas

140,1/3,cup,unsweetened apple sauce

140,1 1/4,cups,unbleached all purpose flour

140,3/4,tsp,baking soda

140,1/4,tsp,salt

140,2,tbsp,butter

140,1/3,cup,light brown sugar

140,2,large,egg white

140,1/2,tsp,vanilla extract

140,10,tbsp,Creamy Peanut Butter

142,1,15 ounce can,chickpeas

142,2,tablespoons,extra virgin olive oil

142,2,bunches,broccolini

142,1,pint,cherry tomatoes

142,1,small,red onion

142,1/2,teaspoon,kosher salt and black pepper

142,1/2,medium,lemon

142,8,ounce,Feta Cheese

143,1 1/4,lbs,butternut squash

143,1/2,tbsp,olive oil or coconut oil

143,2 1/2,tbsp,pure maple syrup

144,1/2,cup,white whole wheat flour

144,3/4,cups,unbleached all purpose flour

144,3/4,cup,raw sugar

144,1,teaspoon,baking soda

144,2,teaspoons,pumpkin pie spice

144,1/4,teaspoon,nutmeg

144,1/4,teaspoon,cinnamon

144,1/4,teaspoon,salt

144,1 1/2,cups,canned pumpkin

144,2,tbsp,coconut oil

144,1,large,egg

144,1 1/2,tsp,vanilla extract

144,5,oz,1/3 less fat cream cheese

144,2,tablespoons,raw sugar

144,1,large,egg yolk

144,1,tsp,vanilla extract

145,1,teaspoon,extra-virgin olive oil

145,4,piece,turkey or chicken sausage links

145,1,small,onion

145,4,clove,garlic

145,2,teaspoons,Italian seasoning

145,1,can,cannellini beans

145,32,ounces,low-sodium chicken or vegetable broth

145,4,cup,yellow potatoes

145,1/2,teaspoon,salt

145,1,cup,finely chopped spinach

146,1,whole,wild salmon filet with skin

146,1/4,cup,light mayo

146,1/4,cup,grated Parmesan cheese

146,3,cloves,garlic

146,2,tablespoons,chopped dill

146,2,tablespoons,chopped parsley

146,2,tablespoons,chopped basil

146,2,tablespoons,chopped chives

147,1,large,egg

147,1,slice,sourdough bread

147,1,ounce,halloumi cheese

147,1,ounce,avocado

147,2,tablespoons,sliced roasted red pepper

147,1,tablespoon,microgreens

147,½,teaspoon,sunflower seeds

148,2,cloves,garlic

148,2,tbsp,chipotle chile

148,1 1/2,cups,tomato sauce

148,1/2,tsp,chipotle chili powder

148,1/2,tsp,ground cumin

148,2/3,cup,fat-free low-sodium chicken broth

148,32,oz,zucchini

148,1,tsp,oil

148,1/2,cup,green onions

148,3,cloves,garlic

148,1/2,cup,diced green bell pepper

148,1/4,cup,chopped cilantro

148,8,oz,cooked shredded chicken breast

148,1,tsp,cumin

148,1/2,tsp,dried oregano

148,1/2,tsp,chipotle chili powder

148,3,tbsp,water or chicken broth

148,1,tbsp,tomato paste

148,3/4,cup,reduced fat shredded sharp cheddar

149,1,cup,almond or any milk

149,1,scoop,vanilla protein

149,1/2,cup,berries

150,4,6 ounce,boneless skinless fish fillets 

150,3,teaspoons,Cajun seasoning

150,1/4,cup,mayonnaise

150,1,teaspoon,sriracha

150,2,medium,limes

150,5,cup,cabbage

150,1/2,tablespoon,olive oil

150,1/2,teaspoon,kosher salt

151,5,cups,low sodium chicken broth

151,2,cups,water

151,2,clove,garlic

151,4,tbsp,fresh parsley

151,1/2,medium,onion

151,4,tbsp,tomato sauce

151,6,oz,dry cut up spaghetti

151,16,oz,93% lean ground turkey

151,1,large,egg

151,1/4,cup,breadcrumbs

151,1/4,cup,grated parmesan cheese

151,1,tbsp,fresh chopped basil

152,2,tablespoons,basil pesto

152,1 1/2,tablespoons,extra virgin olive oil

152,3,medium,tomato

152,3,tablespoons,lemon juice

152,1,teaspoon,sugar

152,3,tablespoon,shallots

153,4,slices,zucchini

153,1/4,teaspoon,kosher salt

153,2,pieces,grilled chicken cutlets

153,4,ounces,shredded mozzarella cheese

153,4,slice,tomato

154,2,medium,extra ripe plantains

155,1,whole,pie dough

155,1,tablespoon,extra-virgin olive oil

155,1/4,cup,diced red onion

155,1,clove,garlic

155,1,tsp,kosher saltž

155,6,large,egg

155,1/2,cup,skim milk

155,1/2,cup,part-skim ricotta cheese

155,1/2,cup,part-skim shredded mozzarella cheese

155,1/4,cup,freshly grated Parmesan cheese

155,2,tablespoons,chopped basil

156,1,cup,all purpose flour

156,1,cup,white whole wheat flour

156,2/3,cup,brown sugar

156,1,tablespoon,cinnamon

156,3/4,teaspoon,baking soda

156,3/4,teaspoon,baking powder

156,1/2,teaspoon,salt

156,2,teaspoons,vanilla

156,3/4,cup,chopped walnuts

156,1,large,egg

156,2,tablespoons,melted butter

156,1,cup,apple sauce

156,1 ½,cups,shredded zucchini

157,1/2,teaspoon,olive oil

157,1/3,cup,chopped scallions

157,1,clove,garlic

157,4,cup,corn kernels

157,1,medium,russet potato

157,4,cups,low fat milk

157,1,piece,bouillon cube

157,2,tablespoons,cilantro

157,1,teaspoon,kosher salt

157,3,oz,crumbled queso fresco or cotija cheese

158,6,ounces,sushi grade tuna

158,1/2,medium,cucumber

158,2,ounces,avocado

158,2,tablespoons,soy sauce

158,2,teaspoons,sesame oil

158,1,teaspoon,sriracha

158,1,teaspoon,fresh grated ginger

158,1,tablespoon,scallions

159,16,ounce,tortellini

159,3 1/2,cups,broccoli florets

159,1 1/2,cups,grape tomatoes

159,1/2,cup,sliced red onion

159,1/4,cup,sliced black olives

159,1/4,cup,Delallo extra virgin olive oil

159,1/4,cup,Delallo red wine vinegar

159,1/2,teaspoon,kosher salt

159,2,cloves,minced garlic

159,1/2,teaspoon,garlic powder

159,1/2,teaspoon,dried parsley

161,1,cup,dry brown lentils

161,1,large,bay leaves

161,2,sprigs,thyme

161,1,cup,carrots

161,1/3,cup,finely diced celery

161,1/4,cup,finely diced red bell pepper

161,1/4,cup,finely diced red onion

161,1/4,cup,minced parsley

161,1,clove,garlic

161,5,tbsp,lemon juice

161,1,tablespoon,olive oil

161,1,teaspoon,kosher salt

162,1,tablespoon,olive oil

162,1 ½,cup,panko breadcrumbs

162,1,teaspoon,kosher salt

162,1,pound,chicken breast

162,2,tablespoons,all-purpose flour

162,1,large,egg

162,2,teaspoons,garlic powder

162,2,teaspoons,onion powder

162,1,teaspoon,dried oregano

162,1/8,teaspoon,cayenne pepper

163,4,cups,grated zucchini

163,1 1/4,cups,Heart Smart Bisquick

163,1/3,cup,minced onion

163,3,large,egg whites

163,1,large,egg 

163,1,tbsp,olive oil

163,1/4,cup,grated Parmesan cheese

163,1,tsp,kosher salt and fresh black pepper

163,1,tsp,parsley

164,4,tablespoons,chia seeds

164,1,cup,unsweetened pineapple juice

164,1,cup,fresh pineapple

164,1,cup,2% cottage cheese

165,3,cups,corn

165,1/2,cup,Boursin cheese

165,12,whole,cherry tomato

165,16,large,sea scallops

165,2,teaspoons,salted butter

165,1/2,teaspoon,kosher salt

165,1,teaspoon,olive oil

166,1/2,cup,part skim ricotta

166,6,tablespoons,part-skim shredded mozzarella

166,1/4,cup,romano cheese

166,2,tablespoons,parsley

166,1,large,zucchini

166,3/4,teaspoon,kosher salt

166,2,large,eggs

166,1,cup,breadcrumbs

166,1,cup,warmed marinara sauce

167,3/4,cup,grated zucchini

167,6,tablespoons,ketchup

167,1 1/2,teaspoons,Worcestershire sauce

167,1,lb,ground turkey

167,2,tablespoons,dried onion flakes

167,1/3,cup,quick oats

167,1,large,egg

167,1,teaspoon,marjoram

167,1,teaspoon,kosher salt

168,2,medium,peaches

168,1,tsp,brown sugar

168,¼,teaspoon,ground cinnamon

168,2,cups,low fat cottage cheese

168,2,tablespoons,chopped shelled pistachios

169,1/4,cup,sofrito

169,1,tablespoon,olive oil

169,15,ounce,can gandules

169,1/2,tablespoon,sazon seasoning

169,1/2,teaspoon,chicken or veggie bouillon

169,1/2 ,cup,canned tomato sauce

169,1/2,cup,water

170,1,medium,yellow onion

170,1,large,red bell pepper

170,2,large,cubanelle peppers

170,10,clove,garlic

170,1,bunch,cilantro

170,1,tablespoon,extra virgin olive oil

171,6,medium,chicken thighs

171,1,tbsp,vinegar

171,2,teaspoons,soy sauce

171,1,package,sazon

171,1,teaspoon,Adobo seasoning

171,1/2,teaspoon,garlic powder

171,1/2,teaspoon,dried oregano

172,1,pound,fresh or frozen cavatelli

172,3,teaspoons,olive oil

172,2,easr,corn

172,1,pint,cherry tomatoes

172,1 1/2,cups,diced zucchini

172,2,cloves,garlic

172,1,teaspoon,kosher salt

172,3/4,cup,homemade marinara sauce

172,6,tablespoons,grated Pecorino Romano

172,2,tablespoons,fresh basil

174,1,medium,cucumber

174,2,medium,avocado

174,15.5,oz,black beans

174,2,tbsp,red onion

174,2,tbsp,cilantro

175,8,ounces,hummus

175,1,cup,0% fat Greek yogurt

175,1,clove,garlic

175,1,tsp,chopped fresh dill

175,2,tbsp,red onion

175,1,cup,English cucumber

175,1,cup,Roma tomato

175,1/4,cup,crumbled feta cheese

175,1/4,cup,Kalamata olives

176,4,medium,russet or Idaho potatoes

176,1/2,teaspoon,kosher salt

177,6,ears,corn

177,1/4,cup,chopped scallions

177,2,tablespoons,extra virgin olive oil

177,1/2,cup,queso Cotija

177,2,tablespoons,cilantro

177,1,teaspoon,Chili Lime Seasoning

177,1/4,teaspoon,kosher salt

178,4,ounces,chickpea flour

178,1,tbsp,cornstarch

178,3,tbsp,olive oil

178,1,tsp,garlic powder

178,½,tsp,kosher salt

178,1/2,cup,breadcrumbs

178,6,cups,baby arugula

178,1,cup,halved grape or cherry tomatoes

178,1,cup,canned chickpeas

179,2,lb,boneless

179,6,oz,light beer

179,1,packet,Sazon seasoning

179,1,tsp,kosher salt

179,3,tablespoons,white vinegar

179,1 1/2,teaspoons,cumin

179,1 1/2,teaspoons,garlic powder

179,1,teaspoon,dried oregano

179,1,ounce,avocado

179,2,medium,jalapeño

179,3,tbsp,fresh cilantro

179,2,tablespoon,extra virgin olive oil

179,1,clove,garlic

179,2,tbsp,white vinegar

179,3 to 4,tablespoons,water

179,1/8,teaspoon,cumin

180,2,tbsp,extra virgin olive oil

180,4,piece,fish fillets

180,2,cloves,garlic

180,2,whole,shallots

180,2,medium,tomatoes

180,2,tbsp,capers

180,1/4,cup,white wine

181,1/2,cup,lite coconut milk

181,1/2,cup,unsweetened almond milk

181,3/4,cup,fresh ripe champagne mango

181,4,tbsp,chia seeds

181,1,tbsp,sweetened shredded coconut

182,15,oz,can chickpeas

182,4,oz,grilled chicken

182,1,tablespoon,extra virgin olive oil

182,2,small,cucumber

182,2,small,tomatoes

182,1/4,cup,red onion

182,2,oz,feta

182,1/4,tsp,kosher salt

182,1/8,teaspoon,dried oregano

183,5,oz,sashimi tuna

183,1,tsp,extra virgin olive oil

183,1,tsp,fresh lemon juice

183,2,cups,baby arugula

183,1,tsp,capers

184,3,cups,seedless watermelon

184,1/2,cup,crumbled feta

184,7,oz,arugula

184,1/4,small,red onion

184,2,tbsp,balsamic vinegar

184,2,tbsp,extra virgin olive oil

185,¾,cup,low fat cottage cheese

185,1/4,cup,each blackberries

185,2,tablespoons,slivered almonds

187,4,pieces,salmon fillet

187,1 1/4,teaspoon,chili-lime seasoning

187,1/4,teaspoon,kosher salt

187,1/2,teaspoon,garlic powder

187,1/2,teaspoon,oregano

187,1/4,teaspoon,smoked paprika

188,1/2,pound,sushi grade tuna

188,1/4,cup,sliced scallions

188,2,tablespoons,reduced sodium soy sauce or gluten-free tamari

188,1,teaspoon,sesame oil

188,1/2,teaspoon,sriracha

188,1,tbsp,less sodium soy sauce

188,1,tsp,wasabi

188,2,tbsp,rice wine vinegar

188,1/2,tbsp,sesame oil

188,3,cups,baby greens

188,1,cup,cucumbers

188,1,small,avocado

188,1/2,cup,edamame

189,1,medium,mango

189,1,medium,avocado

189,1,medium,plum tomato

189,1,clove,garlic

189,1,medium,jalapeño

189,1/4,cup,fresh cilantro

189,2,tbsp,fresh lime juice

189,1/4,cup,chopped red onion

189,1/2,tbsp,olive oil

190,3,cups,baby arugula

190,6,oz,uncooked penne or rotini pasta

190,1/4,cup,sun dried tomatoes

190,2,tbsp,extra virgin olive oil

190,2,tbsp,balsamic vinegar

190,1,cup,canned chickpeas

190,4,tbsp,Parmesan or Pecorino cheese

191,3,piece,chicken breasts

191,1,large,egg white

191,2,tablespoons,corn starch

191,1 1/4,teaspoon,kosher salt

191,1,whole,broccoli

191,2,teaspoons,sesame oil

191,2,cups,brown rice

191,2,tablespoons,honey

191,2,tablespoons,sriracha sauce

191,1,teaspoon,seasoned rice vinegar

191,1,teaspoon,sesame oil

191,2,medium,scallion

191,1,teaspoon,sesame seeds

192,2,piece,chicken breast

192,3/4,teaspoon,seasoning salt

192,8,ounces,diced avocado

192,1/4,cup,chopped red onion

192,1/4,cup,chopped fresh cilantro

192,1,tablespoon,extra virgin olive oil

193,1,large,banana

193,1/2,cup,nondairy milk

193,2,tablespoons,pure maple syrup

193,1,cup,old-fashioned oats

193,1/2,teaspoon,baking powder

193,1/2,teaspoon,ground cinnamon

193,1/8,teaspoon,kosher salt

193,1,tablespoons,chopped pecans

193,1,tablespoon,unsweetened shredded coconut

193,2,tablespoons,chopped dates or raisins

193,2,tablespoons,chia seeds

