id_recepta,kolicina,enota,sestavina

41,3/4,cup,uncooked pearled farro

41,1,pound,sliced cremini mushrooms

41,1/2,cup,Marsala wine

41,4,cups,beef broth

41,1 1/2,teaspoons,dried thyme

41,1,teaspoon,kosher salt

41,2,tablespoons,butter

41,2,tablespoons,all-purpose flour

41,1/4,cup,Italian flat-leaf parsley

42,16,ounces,boneless skinless chicken breasts

42,1,pound,country style pork ribs

42,2,large,bay leaves

42,1,large,chicken bouillon

42,1/4,teaspoon,cumin

42,8,cups,water

42,1,medium,head cabbage

42,3,medium,carrots

42,2,large,leeks

42,2,cloves,garlic

42,1,medium,yellow bell pepper

42,1.5,oz,brandy

42,3/4,teaspoon,kosher salt

42,1/2,teaspoon,turmeric or achiote such as Sazon

43,1,14-ounce package ,extra firm tofu

43,2,tablespoons,Gochujang

43,2,tablespoons,reduced sodium soy sauce

43,3,tablespoons,unseasoned rice vinegar

43,3 1/2,teaspoons,sesame oil

43,2,whole,garlic cloves

43,1,teaspoon,grated fresh ginger

43,1,teaspoon,honey

43,1/4,teaspoon,kosher salt

43,3,cups,tri-color coleslaw mix

43,2,whole,scallion

43,1,cup,cooked brown rice

44,3,tbsp,pure maple syrup

44,3,tbsp,reduced sodium soy sauce

44,1,tbsp,sriracha hot sauce

44,1,clove,garlic

45,1-1/2,lbs,broccoli florets

45,4,cloves,garlic

45,2,tablespoons,light mayo

45,3,medium,chicken breast

45,1,tbsp,butter

45,2,teaspoon,extra virgin olive oil

45,1/4,cup,shallots or onion

45,1/4,cup,all purpose flour

45,1,cup,chicken broth

45,1,cup,fat free milk

45,2,ounces,dry sherry

45,6,ounces,reduced fat Swiss cheese

45,1/4,cup,grated Parmesan cheese

45,1/4,cup,breadcrumbs

46,4,pieces,cubed steak (beef round sirloin)

46,3,large,eggs

46,1 1/4,teaspoons,salt

46,1,cup,breadcrumbs

47,1,whole,chicken tenders

47,1,large,egg

47,1,tsp,kosher salt

47,1,cup,breadcrumbs

47,1 1/2,cups,marinara sauce

47,1,cup,shredded part-skim mozzarella

47,1/4,cup,grated Parmesan cheese

49,1/2,tablespoon,extra virgin olive oil

49,16,ounce carton,egg whites

49,5.3,ounce,cottage cheese

49,1/2,teaspoon,garlic powder

49,1/4,teaspoon,seasoning salt

49,1/4,cup,chopped shallots or red onion

49,1/4,cup,chopped scallions

49,1,medium,red bell pepper

49,1/2,cup,steamed broccoli

49,6,slices,Applegate uncured turkey bacon

49,1/4,cup,sharp shredded cheddar cheese

50,2,whole,chicken breast

50,4,oz,cream cheese

50,1,cup,fat-free sour cream or Greek yogurt

50,1/2,cup,Franks red hot sauce

50,1/2,cup,crumbled blue cheese

50,1,teaspoon,white vinegar

51,3/4,cup,walnuts

51,1,whole,Medjool date

51,1/4,cup,pumpkin purée

51,1/4,cup,unsweetened cocoa powder

51,½,teaspoon,vanilla extract

52,10,medium,jalapeño pepper

52,3,medium,scallion

52,4,oz,shredded chicken

52,1/4,cup,Franks Hot sauce

52,1/2,cup,egg whites

52,3/4,cup,panko crumbs

52,1/8,tsp,paprika

52,1/8,tsp,garlic powder

52,1/8,tsp,chili powder

53,24,oz,3 boneless skinless chicken breasts

53,1,whole,celery stalk

53,16,oz,fat free low sodium chicken broth

53,1/2,cup,cayenne pepper sauce

53,6,large,lettuce leaves

53,1 1/2,cup,shredded carrots

53,2,large,celery stalks

54,4,oz,baked tortilla chips

54,8,oz,99% lean ground turkey breast

54,1,tsp,cumin

54,1,tsp,garlic powder

54,1,cup,fat-free spicy black bean dip

54,1 1/3,cup,reduced fat Mexican cheese blend

54,2,cups,pico de gallo

54,1/2,cup,light sour cream

54,1/2,cup,chopped fresh cilantro

54,1,whole,jalapeño

55,8,large,egg

55,4,tbsp,mayonnaise

55,1,tablespoon,finely chopped chives or scallions

55,1/4,teaspoon,kosher salt

55,1/8,teaspoon,sweet paprika

56,1/4,cup,shredded 2% cheddar

56,4,wedges,Laughing Cow cheese

56,1/3,cup,celery stalk

56,1/4,cup,green onion

56,1/4,cup,carrot

56,5,thin,chicken breasts cutlets

56,15,whole,Ritz Crackers

56,1,tbsp,light mayonnaise

56,6,tbsp,Franks hot sauce

56,1,tbsp,lemon juice

56,2,tsp,unsalted butter

56,1/2,tsp,garlic powder

57,1/2,cup,frozen brown rice

57,1,tablespoons,sweet red chili sauce

57,1/2,teaspoon,Sriracha sauce

57,1/4,teaspoon,fresh grated ginger

57,6,ounce,piece salmon filet

57,1,whole,baby bok choy

57,1,tsp,sesame oil

58,1,tbsp,olive oil

58,1/2,medium,onion

58,3,whole,garlic cloves

58,1,medium,celery stalk

58,1,medium,carrot

58,15,ounce,can cannellini beans

58,15,ounce,can tomato sauce or crushed tomatoes

58,1,large,bay leaf

58,1,tbsp,dried basil

58,1,tbsp,dried parsley

58,1,tsp,dried oregano

58,2,14 ounce,cans chicken or vegetable broth

58,2,cups,water

58,6,oz,dry Ditalini pasta or other small pasta

59,1 1/4,lb,ground chicken

59,1/4,cup,panko crumbs

59,1,large,egg

59,2,whole,scallion

59,1/3,cup,finely minced celery

59,1/3,cup,finely minced carrot

59,1,clove,crushed garlic

59,1/3,cup,Franks Hot sauce

59,1/4,cup,blue cheese dressing

60,1,cup,peeled and shredded beets

60,1,cup,shredded carrots

60,1,large,red apple

60,1,large,lemon

60,2,tablespoons,extra virgin olive oil

60,1/8,teaspoon,salt

61,3/4,cup,dry

61,1 1/3,cups,vegetable broth

61,1/4,cup,chopped scallions

61,1 1/2,cups,diced mango mango

61,1 1/2,cups,diced mini cucumbers

61,1,medium,jalapeño

61,1,whole,lime

61,1/4,cup,cilantro

61,1,lb,raw peeled and deveined shrimp

61,1,teaspoon,olive oil

61,2,cloves,garlic

61,1,teaspoon,fresh grated ginger

61,1/4,cup,low sodium soy sauce or gluten-free tamari

61,2,tablespoons,rice vinegar

61,1,tablespoon,honey

61,1,teaspoon,sesame oil

61,4,oz,sliced avocado

62,1,tablespoon,olive oil

62,1/4,cup,Sofrito

62,1,can,black beans

62,2,cup,long grain rice

62,3 1/2,cups,water

62,1/2,tablespoon,sazon

62,1,large,vegetable or chicken bouillon cube

62,1,teaspoon,kosher salt

64,1,medium,ripe banana

64,2,teaspoons,pure maple syrup

64,1/2,cup,nonfat Greek yogurt

64,2,tablespoons,pecan halves

65,1,teaspoon,oil

65,4,medium,scallions

65,1,tbsp,Thai red curry paste

65,2,cloves,garlic

65,1,lb,shrimp

